  flag  Time  Seq Result
  flag  Time  Seq Result
  flag  Time  Seq Result
  flag  Time  Seq Result
  flag  Time  Seq Result
  flag  Time  Seq Result
     3     3     0     1
     3     5     1     1
     3     7     2     1
     3     8     3     1
     3    10     4     1
     3    12     5     1
     3    14     6     1
     3    16     7     1
     3    18     8     1
     3    20     9     1
     3    22    10     1
     3    24    11     1
     3    26    12     1
     3    28    13     1
     3    30    14     1
     3    32    15     1
     3    34    16     1
     3    36    17     1
     3    38    18     1
     3    40    19     1
     3    42    20     1
     3    44    21     1
     3    46    22     1
     3    48    23     1
     3    50    24     1
     3    52    25     1
     3    54    26     1
     3    56    27     1
     3    58    28     1
     3    60    29     1
     3    62    30     1
     3    64    31     1
     3    66    32     1
     3    68    33     1
     3    70    34     1
     3    72    35     1
     3    74    36     1
     3    76    37     1
     3    78    38     1
     3    80    39     1
     3    82    40     1
     3    84    41     1
     3    86    42     1
     3    88    43     1
     3    90    44     1
  flag  Time  Seq Result
     3     4     0     1
  flag  Time  Seq Result
     3     2     0     1
     3     4     1     1
     3     6     2     1
     3     8     3     1
     3    10     4     1
     3    12     5     1
     3    14     6     1
     3    16     7     1
     3    18     8     1
     3    20     9     1
     3    22    10     1
     3    24    11     1
     3    26    12     1
     3    28    13     1
     3    30    14     1
     3    32    15     1
     3    34    16     1
     3    36    17     1
  flag  Time  Seq Result
     3     5     0     1
     3    10     1     1
     3    15     2     1
     3    20     3     1
     3    25     4     1
     3    30     5     1
     3    35     6     1
     3    40     7     1
     3    45     8     1
     3    50     9     1
     3    55    10     1
     3    60    11     1
     3    65    12     1
     3    70    13     1
     3    75    14     1
     3    80    15     1
     3    85    16     1
     3    90    17     1
     3    95    18     1
     3   100    19     1
     3   105    20     1
     3   110    21     1
     3   115    22     1
     3   120    23     1
     3   125    24     1
     3   130    25     1
     3   135    26     1
     3   140    27     1
     3   145    28     1
     3   150    29     1
     3   155    30     1
     3   160    31     1
     3   165    32     1
     3   170    33     1
     3   175    34     1
     3   180    35     1
     3   185    36     1
     3   190    37     1
     3   195    38     1
     3   200    39     1
     3   205    40     1
     3   210    41     1
     3   215    42     1
     3   220    43     1
     3   225    44     1
     3   230    45     1
     3   235    46     1
     3   240    47     1
     3   245    48     1
     3   250    49     1
     3   255    50     1
     3   260    51     1
     3   265    52     1
     3   270    53     1
     3   275    54     1
     3   280    55     1
     3   285    56     1
     3   290    57     1
     3   295    58     1
     3   300    59     1
     3   305     0     1
     3   310     1     1
     3   315     2     1
     3   320     3     1
     3   325     4     1
     3   330     5     1
     3   335     6     1
     3   340     7     1
     3   345     8     1
     3   350     9     1
     3   355    10     1
     3   360    11     1
     3   365    12     1
     3   370    13     1
     3   375    14     1
     3   380    15     1
     3   385    16     1
  flag  Time  Seq Result
     3     5     0     1
     3    10     1     1
     3    15     2     1
